TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
272550631,interevent,1546.3752510499437,1553.6281810877747,7.252930037830993,1.0851727034250032
272550631,interevent,1553.6281810877747,1563.0339121462214,8.21823105844669,1.2295996195398198
272550631,interevent,1563.0339121462214,1566.7756443109445,3.741732164723089,0.5598324521959851
272550631,interevent,1566.7756443109445,1567.314541631942,0.538897320997421,0.08062902298036616
272550631,interevent,1567.314541631942,1571.6173827248426,3.3236744263890614,0.49728326948921947
272550631,interevent,1571.6173827248426,1604.2149433187874,30.49339392743332,4.562376660499571
272550631,interevent,1604.2149433187874,1605.741339933771,1.526396614983696,0.22837721204270472
272550631,interevent,1605.741339933771,1608.4927382068668,2.751398273095674,0.41166015481200086
272550631,interevent,1608.4927382068668,1616.8121929856045,7.21528811222629,1.079540773989931
272550631,interevent,1616.8121929856045,1621.4260805753645,4.613887589759997,0.6903230615714369
272550631,interevent,1621.4260805753645,1621.4316361202923,0.0055555449278017,0.0008312124447438542
272550631,interevent,1621.4316361202923,1628.802440403382,6.287470950066791,0.940722137536375
272550631,interevent,1628.802440403382,1643.6565004396346,13.791560036718238,2.063472887706146
272550631,interevent,1643.6565004396346,1665.6256640414783,20.92749693533256,3.1311412500574414
272550631,interevent,1665.6256640414783,1666.6173132010758,0.9916491595975004,0.14836908583932315
272550631,interevent,1666.6173132010758,1666.6242575181702,0.0069443170943941,0.0010389984896390513
272550631,interevent,1666.6242575181702,1682.1586907945998,14.596933276895244,2.1839716450015354
272550631,interevent,2037.147617782789,2038.586481959164,1.4388641763750911,0.2152807375769605
272550631,interevent,2038.586481959164,2056.8194527065693,17.205192970351845,2.5742156164750574
272550631,interevent,2056.8194527065693,2057.5527701266,0.733317420030744,0.10971787167567795
272550631,interevent,2057.5527701266,2119.505629932987,6.709827410082198,1.0039144886459686
272550631,interevent,2119.505629932987,2123.09584998019,3.59022004720282,0.5371634324600265
272550631,interevent,2123.09584998019,2125.6471986379747,2.551348657784729,0.3817290261875986
272550631,interevent,2125.6471986379747,2125.681920316418,0.0347216784434749,0.00519500635845473
272550631,interevent,2125.681920316418,2133.1429257420104,6.391560981096063,0.9562959345787365
272550631,interevent,2133.1429257420104,2135.341510363466,2.198584621455666,0.3289489909497562
272550631,interevent,2135.341510363466,2140.0067345588905,4.665224195424344,0.6980039688548196
272550631,interevent,2140.0067345588905,2284.6556538275613,6.968421547367143,1.0426049623695066
272550631,interevent,2284.6556538275613,2284.7917676479888,0.1361138204274539,0.020365149217810147
272550631,interevent,2284.7917676479888,2289.841863026391,5.050095378402148,0.7555878280570935
272550631,interevent,2289.841863026391,2289.9029752314427,0.0611122050518133,0.009143518057175653
272550631,interevent,2289.9029752314427,2289.9085308863737,0.0055556549309585,0.00083122890325406
272550631,interevent,2289.9085308863737,2290.566875908576,0.6583450222024112,0.09850061200141298
272550631,interevent,2290.566875908576,2297.276717408799,5.772341500222865,0.8636492284106528
272550631,interevent,2297.276717408799,2297.4072752113625,0.1305578025635441,0.019533866013062777
272550631,interevent,2297.4072752113625,2309.242176019998,10.584900808635666,1.5836972597391437
272550631,interevent,2309.242176019998,2311.425538912718,2.1833628927197424,0.32667153832895246
272550631,interevent,2311.425538912718,2315.2436402453,3.818101332582046,0.571258694543775
272550631,interevent,2315.2436402453,2326.700695159644,10.262610470313575,1.5354766542872078
272550631,interevent,2326.700695159644,2366.078484470725,10.183368020660964,1.523620515751883
272550631,interevent,2366.078484470725,2368.114580500606,2.036096029880809,0.30463768734207103
272550631,interevent,2368.114580500606,2377.6506009749564,8.529076030320084,1.2761077861310415
272550631,interevent,2377.6506009749564,2382.988038914621,5.337437939664596,0.7985795986088311
272550631,interevent,2382.988038914621,2981.8421152353726,25.354330948999177,3.793477631239601
272550631,interevent,2981.8421152353726,2984.8366223136213,2.783858929928101,0.4165168704491381
